Date,Product_ID,Product_Category,Region,Units_Sold,Price,Revenue
2022-07-21,1090,Home,South,16,240.44,3847.04
2024-09-22,1030,Toys,East,2,460.61,921.22
2022-09-27,1071,Sports,South,13,139.39,1812.0699999999997
2024-03-26,1093,Electronics,East,18,275.51,4959.18
2023-04-01,1057,Clothing,North,19,211.61,4020.59
2024-10-13,1081,Sports,North,11,174.64,1921.04
2022-10-23,1003,Toys,North,14,290.35,4064.9000000000005
2023-12-21,1021,Clothing,South,3,283.86,851.58
2022-12-04,1002,Clothing,East,9,186.09,1674.81
2024-05-28,1078,Home,West,5,426.78,2133.8999999999996
2024-12-12,1098,Toys,South,14,36.05,504.69999999999993
2024-03-02,1046,Home,East,7,51.77,362.39000000000004
2022-08-05,1037,Clothing,North,12,495.48,5945.76
2024-02-03,1032,Home,South,18,376.36,6774.4800000000005
2022-07-07,1077,Toys,East,11,403.93,4443.2300000000005
2023-01-15,1047,Sports,West,9,305.32,2747.88
2023-05-08,1064,Electronics,South,11,215.73,2373.0299999999997
2024-11-30,1025,Sports,West,18,318.32,5729.76
2022-01-15,1007,Clothing,South,2,55.37,110.74
2022-03-06,1049,Sports,North,13,381.31,4957.03
2023-06-05,1079,Home,North,15,274.96,4124.4
2023-10-10,1037,Toys,North,8,478.8,3830.4
2024-12-22,1009,Sports,West,5,322.36,1611.8000000000002
2023-08-16,1041,Sports,North,5,84.33,421.65
2023-01-27,1036,Toys,West,7,244.0,1708.0
2023-02-23,1025,Home,West,12,38.33,459.96
2022-10-16,1091,Electronics,West,12,375.26,4503.12
2023-01-14,1011,Sports,North,9,255.9,2303.1
2022-08-19,1083,Clothing,East,4,191.13,764.52
2024-10-14,1048,Home,West,8,484.59,3876.72
2022-02-10,1013,Home,East,19,470.89,8946.91
2024-11-17,1045,Sports,West,1,476.89,476.89
2022-05-15,1034,Toys,North,11,118.28,1301.08
2022-07-20,1028,Sports,North,13,367.0,4771.0
2024-02-19,1011,Sports,North,18,473.24,8518.32
2024-07-18,1081,Toys,South,10,289.73,2897.3
2024-11-22,1043,Clothing,North,13,114.94,1494.22
2024-12-07,1065,Toys,East,12,410.73,4928.76
2023-05-18,1001,Sports,West,13,441.16,5735.08
2023-02-11,1058,Electronics,East,2,354.59,709.18
2024-03-15,1016,Toys,South,3,153.84,461.52
2022-04-09,1009,Clothing,East,17,103.44,1758.48
2023-11-15,1017,Toys,West,19,315.89,6001.91
2023-12-27,1021,Toys,West,12,246.57,2958.84
2024-08-18,1082,Home,North,16,337.7,5403.2
2023-09-05,1057,Home,South,10,64.73,647.3000000000001
2023-10-05,1052,Sports,South,15,76.6,1149.0
2024-10-25,1000,Sports,East,8,187.82,1502.56
2023-05-18,1087,Toys,North,19,136.79,2599.0099999999998
2024-02-06,1060,Electronics,North,5,313.48,1567.4
2023-02-02,1099,Sports,North,12,190.09,2281.08
2024-05-20,1088,Toys,West,10,345.15,3451.5
2024-03-05,1099,Toys,South,14,386.71,5413.94
2023-01-28,1030,Toys,East,12,101.71,1220.52
2022-07-26,1030,Toys,East,13,460.71,5989.23
2024-11-04,1065,Toys,East,17,395.71,6727.07
2024-06-10,1018,Home,North,1,317.12,317.12
2024-05-13,1052,Clothing,South,10,455.38,4553.8
2024-01-13,1075,Clothing,South,5,140.28,701.4
2023-07-18,1073,Toys,West,11,216.64,2383.04
2024-10-17,1094,Sports,West,10,52.04,520.4
2022-04-06,1021,Electronics,West,6,233.53,1401.18
2023-04-30,1022,Toys,East,15,258.14,3872.1
2022-08-19,1086,Electronics,East,9,311.87,2806.83
2024-01-19,1014,Home,South,8,41.38,331.04
2023-06-25,1025,Clothing,West,6,25.91,155.46
2024-11-25,1002,Home,East,6,215.75,1294.5
2023-06-09,1086,Sports,West,17,102.68,1745.5600000000002
2023-08-01,1019,Sports,West,12,381.81,4581.72
2023-11-13,1039,Toys,South,7,337.68,2363.76
2023-07-11,1038,Sports,South,5,169.66,848.3
2024-10-09,1071,Sports,East,16,32.43,518.88
2023-10-08,1017,Home,South,6,99.4,596.4000000000001
2024-03-06,1040,Electronics,West,8,348.92,2791.36
2024-11-17,1069,Clothing,South,3,495.18,1485.54
2022-07-09,1026,Sports,West,8,169.97,1359.76
2023-09-25,1099,Sports,West,7,402.98,2820.86
2023-09-20,1014,Home,East,17,434.88,7392.96
2024-08-30,1036,Clothing,East,19,33.61,638.59
2023-12-11,1057,Home,East,14,458.95,6425.3
2023-10-11,1004,Electronics,West,6,238.44,1430.6399999999999
2022-11-14,1072,Home,South,7,482.48,3377.36
2023-11-15,1006,Clothing,East,5,273.89,1369.4499999999998
2023-10-26,1040,Clothing,East,19,125.22,2379.18
2023-03-18,1083,Sports,South,7,487.59,3413.1299999999997
2023-07-18,1009,Electronics,South,9,129.22,1162.98
2024-08-09,1061,Toys,East,12,442.41,5308.92
2023-11-30,1025,Sports,West,15,94.83,1422.45
2022-04-23,1067,Home,West,15,340.64,5109.599999999999
2022-01-02,1023,Home,East,16,211.53,3384.48
2023-10-04,1077,Clothing,South,15,486.29,7294.35
2022-08-08,1040,Clothing,West,5,100.54,502.70000000000005
2024-05-04,1064,Clothing,South,12,210.31,2523.7200000000003
2023-01-20,1016,Toys,North,4,323.49,1293.96
2024-12-12,1023,Toys,South,3,489.03,1467.09
2023-12-31,1026,Sports,South,1,158.89,158.89
2022-09-04,1006,Toys,North,13,204.47,2658.11
2024-04-15,1072,Clothing,West,5,236.28,1181.4
2022-07-22,1098,Sports,West,12,133.82,1605.84
2022-05-03,1011,Sports,West,2,410.5,821.0
2023-02-05,1084,Electronics,East,6,55.08,330.48
2024-02-06,1002,Toys,North,5,355.35,1776.75
2022-10-21,1078,Home,South,18,271.63,4889.34
2022-10-07,1084,Home,North,5,128.54,642.6999999999999
2024-06-02,1009,Electronics,North,18,251.49,4526.82
2022-07-17,1032,Clothing,North,16,416.68,6666.88
2024-09-08,1045,Electronics,North,17,228.27,3880.59
2024-01-22,1058,Clothing,North,2,69.73,139.46
2022-05-24,1051,Toys,North,17,29.99,509.83
2023-09-01,1005,Toys,East,10,391.12,3911.2
2022-07-06,1001,Sports,North,3,171.91,515.73
2023-04-09,1028,Sports,North,14,466.31,6528.34
2023-10-22,1039,Sports,West,19,312.4,5935.599999999999
2024-02-03,1096,Sports,North,12,223.78,2685.36
2024-08-12,1060,Home,North,1,286.59,286.59
2023-02-07,1067,Sports,West,7,233.99,1637.93
2022-05-27,1067,Sports,West,7,453.85,3176.9500000000003
2024-05-13,1028,Sports,West,13,234.43,3047.59
2023-05-04,1061,Clothing,South,9,60.99,548.91
2024-07-17,1059,Sports,North,5,302.57,1512.85
2023-07-05,1083,Electronics,North,4,315.26,1261.04
2022-12-04,1040,Sports,North,5,385.01,1925.05
2024-05-21,1086,Sports,West,12,467.31,5607.72
2023-10-03,1081,Home,East,8,227.11,1816.88
2023-04-18,1088,Sports,North,13,182.52,2372.76
2022-05-31,1064,Clothing,West,4,250.48,1001.92
2022-09-20,1063,Toys,West,11,451.1,4962.1
2022-05-24,1078,Sports,West,15,490.19,7352.85
2022-12-12,1062,Sports,South,14,485.91,6802.740000000001
2023-09-16,1097,Sports,West,18,122.55,2205.9
2024-10-13,1047,Home,East,1,253.48,253.48
2024-05-30,1019,Toys,South,1,137.14,137.14
2022-01-02,1036,Home,West,11,190.31,2093.41
2024-06-15,1063,Home,East,6,25.53,153.18
2022-09-11,1090,Home,East,5,88.69,443.45
2023-03-29,1085,Clothing,North,13,204.57,2659.41
2024-11-26,1004,Toys,West,10,188.71,1887.1000000000001
2024-10-11,1033,Clothing,West,6,146.63,879.78
2022-01-09,1038,Clothing,North,4,122.85,491.4
2024-03-26,1066,Toys,East,4,376.99,1507.96
2022-07-27,1080,Clothing,West,7,154.33,1080.3100000000002
2023-02-08,1061,Toys,North,16,356.21,5699.36
2022-06-01,1087,Sports,North,1,190.63,190.63
2022-02-23,1023,Home,East,9,402.97,3626.7300000000005
2023-09-20,1002,Clothing,East,19,91.94,1746.86
2023-08-10,1070,Toys,West,15,87.23,1308.45
2022-04-14,1088,Electronics,West,9,343.04,3087.36
2022-09-11,1066,Clothing,South,1,458.31,458.31
2023-05-25,1078,Clothing,East,1,80.06,80.06
2022-04-09,1092,Toys,South,16,46.12,737.92
2022-06-02,1049,Electronics,South,5,467.97,2339.8500000000004
2024-07-02,1028,Electronics,North,9,67.49,607.41
2024-05-27,1073,Sports,North,1,132.68,132.68
2022-12-04,1031,Clothing,West,19,465.45,8843.55
2024-04-01,1086,Home,East,16,403.43,6454.88
2024-08-14,1038,Clothing,East,3,177.95,533.8499999999999
2022-06-10,1008,Home,South,4,477.72,1910.88
2024-03-11,1013,Home,South,12,288.34,3460.08
2023-02-02,1067,Toys,West,7,45.4,317.8
2024-03-26,1063,Clothing,North,15,354.5,5317.5
2023-02-05,1019,Toys,East,15,273.27,4099.049999999999
2023-10-02,1027,Sports,East,5,290.57,1452.85
2024-11-22,1013,Home,East,2,497.11,994.22
2023-11-19,1043,Electronics,East,12,84.73,1016.76
2023-04-05,1097,Home,North,19,331.83,6304.7699999999995
2024-08-12,1076,Sports,West,5,234.78,1173.9
2023-04-15,1094,Home,West,3,143.23,429.68999999999994
2024-11-11,1096,Toys,North,6,349.84,2099.04
2024-01-20,1038,Clothing,West,13,337.42,4386.46
2022-02-07,1027,Electronics,West,15,429.68,6445.2
2022-08-18,1063,Toys,South,4,440.65,1762.6
2023-07-17,1088,Clothing,North,7,285.29,1997.0300000000002
2023-03-14,1031,Electronics,West,18,169.53,3051.54
2022-01-27,1008,Sports,South,7,269.49,1886.43
2022-08-14,1027,Home,North,12,186.04,2232.48
2024-03-08,1094,Electronics,North,11,145.9,1604.9
2022-10-11,1016,Sports,East,12,280.27,3363.24
2024-05-28,1086,Clothing,South,15,332.39,4985.849999999999
2024-08-17,1076,Electronics,South,8,299.38,2395.04
2023-03-29,1054,Sports,South,11,477.67,5254.37
2024-10-16,1009,Clothing,North,18,156.33,2813.94
2024-03-26,1079,Toys,East,10,192.45,1924.5
2023-10-21,1005,Home,North,8,337.14,2697.12
2023-07-01,1047,Sports,West,6,304.18,1825.08
2024-12-08,1074,Toys,West,3,10.91,32.730000000000004
2022-01-17,1066,Clothing,West,12,163.02,1956.2400000000002
2022-06-07,1091,Electronics,East,17,134.34,2283.78
2023-04-22,1040,Home,North,3,421.56,1264.68
2024-12-05,1078,Clothing,South,18,434.46,7820.28
2023-06-02,1059,Sports,West,12,149.11,1789.3200000000002
2022-04-09,1076,Home,West,16,60.01,960.16
2024-11-26,1041,Toys,North,10,110.55,1105.5
2022-10-07,1080,Home,South,19,96.52,1833.8799999999999
2023-05-12,1070,Toys,East,9,126.34,1137.06
2022-10-29,1027,Clothing,West,14,124.98,1749.72
2022-06-30,1012,Electronics,West,14,245.12,3431.6800000000003
2023-08-30,1080,Home,West,4,166.62,666.48
2023-12-01,1014,Electronics,South,15,284.31,4264.65
2024-09-19,1035,Electronics,West,2,178.63,357.26
2022-07-10,1091,Home,South,18,409.19,7365.42
2022-09-10,1014,Home,West,2,475.89,951.78
2024-09-07,1074,Electronics,West,18,207.92,3742.56
2024-07-16,1055,Sports,South,8,34.24,273.92
2022-05-08,1094,Sports,South,10,127.39,1273.9
2022-01-18,1003,Home,East,4,59.91,239.64
2023-07-20,1098,Electronics,North,10,178.93,1789.3000000000002
2023-07-24,1097,Electronics,West,10,326.11,3261.1000000000004
2023-11-17,1051,Clothing,West,3,264.26,792.78
2023-09-18,1090,Electronics,North,4,129.01,516.04
2024-05-03,1009,Sports,North,10,385.96,3859.6
2024-08-19,1093,Clothing,North,7,74.43,521.01
2022-06-04,1044,Sports,West,12,121.82,1461.84
2023-05-05,1083,Toys,West,7,341.26,2388.8199999999997
2024-02-24,1028,Home,West,13,106.64,1386.32
2022-09-03,1052,Toys,South,8,342.59,2740.72
2024-11-28,1028,Home,East,13,488.7,6353.099999999999
2024-01-29,1022,Sports,East,1,417.36,417.36
2023-06-22,1056,Sports,North,16,88.41,1414.56
2024-07-09,1049,Toys,North,19,265.04,5035.76
2023-02-12,1020,Home,West,19,216.94,4121.86
2023-06-09,1042,Home,East,13,495.92,6446.96
2024-04-07,1009,Clothing,East,7,482.56,3377.92
2024-06-21,1075,Electronics,South,15,72.28,1084.2
2022-02-05,1029,Clothing,West,6,455.28,2731.68
2023-11-16,1050,Sports,West,4,104.77,419.08
2022-01-20,1032,Toys,East,11,166.53,1831.83
2022-11-17,1017,Home,East,19,183.17,3480.2299999999996
2023-05-27,1077,Clothing,South,2,150.54,301.08
2023-02-04,1021,Toys,South,17,428.09,7277.53
2023-10-16,1063,Toys,West,15,171.67,2575.0499999999997
2024-08-29,1020,Electronics,South,18,410.2,7383.599999999999
2023-04-16,1000,Home,East,12,497.24,5966.88
2024-04-13,1014,Toys,West,3,421.97,1265.91
2023-12-28,1035,Home,East,17,179.61,3053.3700000000003
2024-05-03,1046,Clothing,West,14,358.51,5019.139999999999
2022-02-20,1053,Toys,West,6,271.62,1629.72
2023-07-29,1085,Toys,East,4,395.39,1581.56
2022-05-30,1031,Clothing,West,8,85.02,680.16
2022-11-10,1057,Home,West,3,322.69,968.0699999999999
2023-07-24,1045,Home,South,8,389.1,3112.8
2022-11-01,1053,Toys,East,13,383.0,4979.0
2023-11-13,1032,Clothing,East,19,482.16,9161.04
2024-04-17,1038,Sports,South,15,38.62,579.3
2024-12-13,1022,Home,West,7,179.43,1256.01
2024-09-29,1042,Sports,North,3,243.51,730.53
2023-03-20,1054,Toys,North,19,161.78,3073.82
2023-09-05,1001,Sports,East,10,161.8,1618.0
2024-09-19,1065,Sports,South,16,96.3,1540.8
2022-09-21,1037,Home,West,14,408.35,5716.900000000001
2024-12-12,1028,Toys,South,8,454.95,3639.6
2024-09-30,1066,Sports,West,11,50.34,553.74
2022-01-05,1070,Home,East,19,85.9,1632.1000000000001
2024-02-13,1035,Sports,East,2,121.94,243.88
2024-05-26,1028,Home,North,5,259.4,1297.0
2024-09-18,1036,Toys,South,11,397.67,4374.37
2024-06-02,1099,Clothing,East,7,45.01,315.07
2022-02-16,1086,Home,South,8,322.04,2576.32
2024-05-16,1044,Home,East,17,83.17,1413.89
2024-04-02,1015,Sports,West,12,486.01,5832.12
2024-07-24,1030,Toys,West,18,450.4,8107.2
2023-10-18,1033,Electronics,North,7,475.3,3327.1
2022-09-26,1049,Electronics,East,9,62.02,558.1800000000001
2023-01-05,1064,Clothing,North,19,249.14,4733.66
2023-09-28,1081,Toys,North,14,90.97,1273.58
2023-10-19,1061,Home,East,19,304.17,5779.2300000000005
2022-04-30,1042,Electronics,East,18,124.04,2232.7200000000003
2024-04-10,1055,Clothing,West,15,387.61,5814.150000000001
2024-12-17,1014,Toys,North,4,325.56,1302.24
2024-01-11,1047,Clothing,West,13,290.09,3771.1699999999996
2022-04-27,1048,Electronics,South,5,414.36,2071.8
2024-03-01,1080,Sports,South,12,255.13,3061.56
2024-10-09,1043,Sports,North,17,142.23,2417.91
2024-12-17,1009,Toys,North,10,314.15,3141.5
2023-09-26,1019,Clothing,East,12,478.96,5747.5199999999995
2023-05-28,1069,Home,East,6,304.57,1827.42
2024-03-12,1007,Electronics,North,12,318.51,3822.12
2023-07-14,1044,Sports,North,13,468.03,6084.389999999999
2023-05-03,1033,Sports,South,17,262.48,4462.16
2024-06-15,1095,Clothing,West,10,498.22,4982.200000000001
2023-12-05,1050,Sports,South,19,88.23,1676.3700000000001
2023-08-04,1003,Clothing,South,5,273.15,1365.75
2024-02-29,1038,Electronics,West,5,114.32,571.5999999999999
2024-05-10,1083,Clothing,North,8,232.13,1857.04
2022-09-04,1023,Sports,North,17,93.58,1590.86
2022-06-03,1087,Clothing,South,3,119.04,357.12
2024-09-23,1054,Sports,South,16,113.29,1812.64
2023-11-28,1025,Toys,West,19,166.82,3169.58
2024-12-28,1024,Sports,East,6,75.96,455.76
2024-12-06,1035,Sports,East,10,406.58,4065.7999999999997
2024-10-05,1070,Sports,North,16,118.13,1890.08
2022-04-04,1073,Toys,East,13,214.12,2783.56
2024-08-15,1057,Home,North,3,17.87,53.61
2024-10-08,1011,Sports,North,8,61.39,491.12
2023-03-29,1000,Home,North,8,449.17,3593.36
2024-06-30,1049,Electronics,West,7,420.21,2941.47
2022-08-06,1024,Clothing,South,11,422.05,4642.55
2023-04-19,1079,Home,East,3,211.56,634.6800000000001
2023-03-08,1004,Electronics,West,7,79.35,555.4499999999999
2022-12-07,1082,Clothing,East,11,62.87,691.5699999999999
2023-07-05,1067,Sports,West,17,306.75,5214.75
2022-12-23,1005,Sports,East,18,415.81,7484.58
2022-01-23,1025,Sports,East,9,451.06,4059.54
2023-06-06,1054,Toys,South,13,151.48,1969.2399999999998
2024-03-12,1038,Toys,East,15,167.3,2509.5
2024-02-01,1008,Toys,West,19,59.43,1129.17
2023-03-18,1044,Toys,East,15,389.46,5841.9
2024-02-08,1013,Electronics,South,7,145.09,1015.63
2024-10-12,1054,Electronics,East,3,245.66,736.98
2023-05-31,1008,Sports,West,8,465.16,3721.28
2024-11-05,1014,Clothing,East,13,378.59,4921.67
2024-03-02,1036,Toys,South,16,35.84,573.44
2022-12-02,1049,Clothing,South,3,14.0,42.0
2022-09-15,1083,Electronics,South,1,395.83,395.83
2023-05-12,1071,Toys,South,3,280.73,842.19
2024-06-14,1095,Electronics,North,16,362.96,5807.36
2022-06-09,1020,Electronics,South,1,86.84,86.84
2024-05-01,1056,Home,East,18,437.3,7871.400000000001
2023-11-21,1018,Electronics,East,14,388.93,5445.02
2023-01-15,1092,Sports,East,7,446.51,3125.5699999999997
2024-08-14,1057,Electronics,East,3,177.14,531.42
2023-11-22,1094,Toys,North,16,145.1,2321.6
2024-12-02,1005,Sports,North,6,84.35,506.09999999999997
2022-10-12,1003,Electronics,North,18,465.74,8383.32
2023-02-01,1042,Sports,East,13,96.65,1256.45
2022-01-12,1092,Electronics,West,2,68.47,136.94
2023-05-14,1041,Sports,West,12,104.41,1252.92
2024-01-24,1002,Clothing,East,4,387.98,1551.92
2022-02-04,1000,Home,South,9,445.87,4012.83
2023-12-28,1054,Sports,South,5,407.35,2036.75
2024-04-28,1014,Toys,East,10,285.99,2859.9
2022-03-31,1046,Home,South,6,497.0,2982.0
2024-02-15,1084,Home,South,1,43.74,43.74
2023-08-28,1045,Electronics,West,5,434.92,2174.6
2024-08-27,1057,Sports,East,6,219.58,1317.48
2024-10-18,1094,Home,North,19,233.01,4427.19
2023-02-22,1070,Toys,West,11,72.52,797.7199999999999
2022-04-25,1080,Toys,East,15,26.38,395.7
2023-09-09,1082,Toys,East,2,165.15,330.3
2024-04-05,1038,Electronics,West,15,95.68,1435.2
2023-02-17,1002,Clothing,South,7,246.84,1727.88
2023-12-30,1029,Sports,South,17,82.19,1397.23
2024-10-17,1034,Home,West,12,77.58,930.96
2024-01-31,1056,Sports,East,12,439.72,5276.64
2023-11-07,1028,Home,North,5,461.43,2307.15
2023-04-02,1049,Electronics,East,7,482.47,3377.29
2024-07-08,1061,Sports,North,2,343.45,686.9
2022-07-11,1051,Electronics,North,13,387.8,5041.400000000001
2024-01-09,1013,Electronics,East,9,419.53,3775.7699999999995
2024-09-04,1034,Sports,East,15,332.87,4993.05
2024-10-05,1027,Sports,East,15,171.82,2577.2999999999997
2022-04-06,1057,Home,North,1,86.63,86.63
2023-10-25,1029,Toys,South,3,126.26,378.78000000000003
2022-02-06,1089,Electronics,North,1,421.8,421.8
2022-10-06,1006,Clothing,North,19,351.09,6670.709999999999
2022-08-05,1038,Home,North,13,233.34,3033.42
2024-05-16,1094,Home,West,15,24.41,366.15
2024-05-22,1068,Toys,South,13,140.44,1825.72
2022-03-03,1034,Toys,North,18,367.16,6608.88
2023-08-19,1051,Electronics,North,17,261.07,4438.19
2023-12-30,1013,Home,West,1,223.41,223.41
2023-02-01,1062,Home,North,15,163.7,2455.5
2023-11-30,1035,Clothing,South,4,307.4,1229.6
2024-11-08,1090,Electronics,North,2,483.53,967.06
2022-06-26,1023,Electronics,South,19,451.55,8579.45
2023-01-31,1039,Toys,South,8,24.94,199.52
2023-03-21,1028,Electronics,East,16,245.67,3930.72
2022-03-17,1052,Clothing,West,8,171.44,1371.52
2022-09-22,1021,Electronics,West,10,260.2,2602.0
2023-03-31,1071,Sports,West,16,307.04,4912.64
2023-12-19,1014,Sports,East,5,108.01,540.0500000000001
2024-01-05,1068,Clothing,East,19,392.97,7466.43
2024-04-30,1063,Toys,South,6,242.78,1456.68
2022-05-24,1003,Home,West,10,496.08,4960.8
2024-06-03,1074,Electronics,East,5,22.31,111.55
2024-12-28,1017,Toys,East,19,102.96,1956.2399999999998
2023-01-31,1041,Toys,East,19,347.92,6610.4800000000005
2024-11-14,1029,Electronics,South,13,350.64,4558.32
2024-08-05,1014,Home,North,15,295.27,4429.049999999999
2024-06-09,1069,Electronics,East,8,486.26,3890.08
2023-07-23,1054,Home,East,11,213.5,2348.5
2024-11-28,1052,Clothing,East,1,214.35,214.35
2022-04-19,1015,Home,West,4,456.13,1824.52
2024-12-01,1072,Toys,West,13,273.84,3559.9199999999996
2024-07-23,1033,Clothing,East,7,183.33,1283.3100000000002
2023-02-02,1026,Sports,South,7,362.28,2535.96
2023-09-26,1012,Clothing,North,6,313.64,1881.84
2024-01-03,1099,Home,West,8,160.14,1281.12
2022-08-23,1026,Clothing,North,12,155.99,1871.88
2023-10-20,1072,Clothing,East,18,203.85,3669.2999999999997
2024-01-21,1068,Sports,West,15,45.09,676.35
2023-08-11,1085,Home,North,16,471.88,7550.08
2024-10-29,1030,Toys,East,1,99.68,99.68
2024-08-11,1002,Clothing,West,10,104.97,1049.7
2023-05-07,1029,Electronics,East,15,327.05,4905.75
2024-07-01,1020,Toys,West,13,364.88,4743.44
2022-06-19,1098,Clothing,North,19,371.05,7049.95
2024-08-03,1005,Toys,North,13,193.79,2519.27
2024-03-05,1091,Electronics,West,9,437.93,3941.37
2023-09-26,1031,Toys,South,16,276.56,4424.96
2022-01-29,1041,Toys,East,14,224.91,3148.74
2022-12-05,1061,Electronics,North,9,407.09,3663.81
2023-05-15,1088,Electronics,South,18,129.35,2328.2999999999997
2023-05-26,1031,Electronics,West,4,431.49,1725.96
2022-08-05,1098,Sports,North,12,274.03,3288.3599999999997
2024-12-29,1085,Electronics,North,5,451.03,2255.1499999999996
2023-03-21,1087,Toys,East,11,108.79,1196.69
2024-05-25,1038,Electronics,South,5,468.67,2343.35
2022-06-16,1063,Clothing,East,19,347.06,6594.14
2022-04-01,1029,Electronics,West,7,312.98,2190.86
2023-12-15,1062,Electronics,North,4,216.81,867.24
2022-02-08,1095,Home,South,8,478.59,3828.72
2022-06-22,1030,Toys,East,6,227.52,1365.1200000000001
2023-10-15,1086,Toys,South,6,254.29,1525.74
2024-01-24,1039,Clothing,West,4,392.93,1571.72
2024-12-17,1032,Sports,North,14,149.57,2093.98
2023-04-21,1062,Home,South,3,152.83,458.49
2023-04-01,1024,Clothing,West,10,389.9,3899.0
2024-04-08,1035,Clothing,West,6,73.0,438.0
2024-06-13,1023,Toys,North,18,413.25,7438.5
2024-10-21,1094,Home,East,10,316.34,3163.3999999999996
2023-01-22,1057,Toys,North,9,274.15,2467.35
2022-12-14,1038,Sports,North,16,122.26,1956.16
2022-07-09,1045,Toys,South,4,395.32,1581.28
2023-05-20,1076,Electronics,South,11,404.43,4448.7300000000005
2024-04-03,1009,Toys,East,12,246.64,2959.68
2024-07-17,1086,Electronics,West,19,200.69,3813.11
2024-07-22,1081,Clothing,South,10,130.62,1306.2
2022-05-14,1031,Sports,East,7,379.57,2656.99
2022-02-27,1096,Electronics,North,7,323.33,2263.31
2023-11-16,1035,Sports,West,18,111.25,2002.5
2023-11-03,1027,Toys,North,3,399.29,1197.8700000000001
2022-06-22,1015,Toys,West,12,442.28,5307.36
2024-03-25,1015,Clothing,South,14,39.03,546.4200000000001
2022-03-21,1017,Toys,North,2,388.49,776.98
2024-06-04,1007,Electronics,North,9,427.87,3850.83
2022-07-22,1079,Clothing,West,10,495.84,4958.4
2024-02-03,1074,Sports,East,6,126.42,758.52
2022-02-16,1069,Clothing,West,17,191.79,3260.43
2023-10-18,1000,Sports,South,15,483.43,7251.45
2023-04-16,1061,Home,East,1,56.07,56.07
2024-08-28,1075,Electronics,North,13,266.62,3466.06
2024-11-01,1037,Electronics,North,10,258.3,2583.0
2024-01-06,1091,Sports,North,12,307.21,3686.5199999999995
2024-02-23,1044,Toys,South,16,172.09,2753.44
2024-08-25,1057,Toys,North,2,463.7,927.4
2022-12-24,1080,Home,North,3,142.33,426.99
2024-08-29,1000,Sports,East,8,328.35,2626.8
2023-10-30,1031,Home,South,15,253.0,3795.0
